university_id,university_name
1003,Alabama A & M U
3840,Alabama Library Association
1248,Alabama Public Library Service
1006,Alabama State U
9776,Amridge U
1024,Athens State Coll
1005,Auburn U Auburn
7807,Auburn U CSDCAS
1036,Auburn U Montgomery
1064,Birmingham-Southern Coll
3878,Columbia Southern U
1034,Faulkner U
301,Heritage Bible Coll
805,Heritage Christian U
1303,Huntingdon Coll
1736,Jacksonville State U
1349,Judson Coll
4077,Kingdom College
1468,Miles Coll
1586,Oakwood Coll
1302,Samford U
1779,Samford U ATCAS
393,Samford U Brock Sch Business
2733,Samford U CASPA
6967,Samford U CSDCAS
1688,Samford U Phys Therapy PTCAS
1723,Southeastern Bible Coll
1733,Spring Hill Coll
1739,Stillman Coll
1800,Talladega Coll
1824,Troy U Dothan
1798,Troy U Montgomery
1738,Troy U Troy
1813,Tuskegee U
1856,U Alabama Birmingham
7801,U Alabama Birmingham Phys Therapy PTCAS
4006,Northern Arizona U
1783,Northern Arizona U
2118,Northern Arizona U CASPA
6964,Northern Arizona U CSDCAS
7668,Northern Arizona U Phys Therapy
4639,Prescott Coll
4635,Project 1000
4159,Salt River Project
4733,Southwestern Coll Naturopath Med
3743,Still U Arizona Sch Hlth Sci
4003,Thunderbird Sch Global Mgmt Arizona State U
4827,Troy U Davis-Monthan AFB AZ
4168,U Advancing Computer Tech
4832,U Arizona
4253,U Arizona Coll Pub Hlth SOPHAS
3862,U Arizona DPS Coll Education
4154,U Arizona Eller Coll Mgmt
2670,U Arizona James E Rogers College of Law
4808,U Arizona Optical Sci Ctr
4912,U Arizona Planetary Sci
4911,U Phoenix
4919,U Phoenix Tucson
4736,Arizona Christian U
4007,Arizona State U
4165,Arizona State U West
6697,Arizona Summit Law Sch
7695,A T Still U Arizona PTCAS
72,Concordia U Portland Online
4277,DeVry U Phoenix
4305,Embry Riddle Aeronautical U
3571,Frank Lloyd Wright Sch
4331,Grand Canyon U
4160,Midwestern U
7600,Midwestern U Glendale CMPS Phys Therapy
508,Midwestern U Phys Asst CASPA
3354,Academy of Art U
4039,Alliant Intl U
4016,American Baptist Seminary West
3727,American Coll Traditional Chinese Med
8704,American Grad U
4876,American Jewish U
6746,American U Complementary Medicine
4262,American U Health Sciences
7032,Antioch U Los Angeles
3119,Antioch U Santa Barbara
8714,Argosy U Orange County
595,Art Center Coll Design
4596,Azusa Pacific U
4195,Bethel Seminary San Diego
4017,Biola U
4967,Brandman U
4228,Brooks Inst
4094,California Baptist U
4031,California College of Arts
4049,California Inst Arts
4807,California Inst Integral Stds
4034,California Inst Tech
4088,California Lutheran U
4035,California Maritime Acad
4045,California Northstate U PSYCAS
4796,California Sch Law
